latitude,longitude,blue_band,green_band,depth,stumpf_ratio,log_blue,log_green,bg_ratio
16.37708333,73.12708333,0.0428,0.0366,49,1.043468824,-3.151217176,-3.307707039,1.169398907
17.79375,84.66875,0.0467,0.0381,2487,1.055911511,-3.064011114,-3.267540997,1.225721785
17.08541667,70.87708333,0.0393,0.0311,2436,1.068083372,-3.23653076,-3.47054746,1.263665595
12.00208333,73.37708333,0.0455,0.0321,2083,1.10056811,-3.090042953,-3.438899249,1.417445483
15.21041667,81.33541667,0.0488,0.0417,2428,1.042146934,-3.020024966,-3.17725415,1.170263789
17.37708333,84.08541667,0.0381,0.031,2507,1.060054702,-3.267540997,-3.473768074,1.229032258
15.41875,81.58541667,0.0122,0.0132,2301,0.969467342,-4.406319327,-4.327538449,0.924242424
16.83541667,71.83541667,0.0421,0.0332,1071,1.067807133,-3.167707538,-3.405205403,1.268072289
18.83541667,85.58541667,0.0378,0.0327,1605,1.041559632,-3.275446176,-3.420380201,1.155963303
6.877083333,77.04375,0.0509,0.0378,2149,1.08191864,-2.977892355,-3.275446176,1.346560847
7.002083333,82.46041667,0.0641,0.0492,3980,1.067905022,-2.747310915,-3.011861655,1.302845528
8.585416667,75.96041667,0.0463,0.031,945,1.116818943,-3.072613318,-3.473768074,1.493548387
11.25208333,80.12708333,0.0462,0.0376,557,1.0567895,-3.074775481,-3.280751229,1.228723404
19.79375,87.12708333,0.0329,0.0259,1296,1.073513162,-3.414282621,-3.65351231,1.27027027
20.96041667,69.41875,0.0369,0.0264,76,1.102294624,-3.299543728,-3.634391269,1.397727273
12.29375,80.41875,0.0363,0.0322,95,1.034519714,-3.315937538,-3.435788826,1.127329193
16.66875,83.91875,0.0451,0.03405,2928,1.079667164,-3.098873032,-3.379925246,1.324522761
18.16875,72.00208333,0.02385,0.01825,67,1.092150112,-3.735971062,-4.003590199,1.306849315
11.41875,72.87708333,0.0426,0.0338,1829,1.065728171,-3.155901026,-3.387294476,1.26035503
9.460416667,74.46041667,0.044,0.0345,2694,1.068690512,-3.123565645,-3.366795955,1.275362319
12.21041667,71.58541667,0.0438,0.03065,1563,1.10430601,-3.128121462,-3.485122617,1.42903752
17.75208333,71.08541667,0.0428,0.0297,96,1.107748515,-3.151217176,-3.516608233,1.441077441
6.127083333,72.54375,0.0532,0.0505,769,1.01328032,-2.933696883,-2.985781943,1.053465347
21.29375,69.41875,0.03745,0.0298,50,1.067314111,-3.284748569,-3.513246885,1.256711409
6.66875,74.71041667,0.0594,0.0528,2815,1.029694366,-2.823461053,-2.941244088,1.125
7.210416667,73.29375,0.03925,0.02415,2036,1.152520003,-3.237803835,-3.723470899,1.625258799
10.46041667,80.41875,0.06865,0.05675,238,1.047135852,-2.678734147,-2.869099623,1.20969163
14.50208333,73.50208333,0.055,0.0424,90,1.069435421,-2.900422094,-3.160606917,1.297169811
12.21041667,73.41875,0.0479,0.034,2095,1.09719794,-3.038639775,-3.381394754,1.408823529
16.41875,82.33541667,0.0702,0.0589,274,1.043060369,-2.656406968,-2.831914188,1.191850594
13.71041667,71.91875,0.0452,0.0322,1489,1.097676818,-3.096658192,-3.435788826,1.403726708
10.29375,80.62708333,0.0678,0.05885,292,1.034741263,-2.691193084,-2.832763445,1.152081563
10.71041667,81.54375,0.0672,0.0574,3647,1.038920301,-2.700082031,-2.857710976,1.170731707
17.16875,71.91875,0.0417,0.0357,147,1.043452837,-3.17725415,-3.33260459,1.168067227
17.75208333,83.66875,0.0469,0.0376,55,1.060935588,-3.059737604,-3.280751229,1.247340426
17.75208333,84.91875,0.044,0.0328,2504,1.084161907,-3.123565645,-3.417326764,1.341463415
11.87708333,80.33541667,0.04435,0.03365,1620,1.078526345,-3.11564257,-3.391742223,1.317979198
8.252083333,72.66875,0.036,0.0254,1858,1.107819724,-3.324236341,-3.673006105,1.417322835
10.21041667,75.83541667,0.04945,0.0455,46,1.021806183,-3.006793221,-3.090042953,1.086813187
7.66875,71.66875,0.0393,0.0269,3537,1.115153004,-3.23653076,-3.615628992,1.460966543
7.585416667,73.12708333,0.0368,0.0248,1900,1.122912927,-3.302257434,-3.696911626,1.483870968
6.502083333,72.50208333,0.0479,0.0392,1259,1.054635165,-3.038639775,-3.239078532,1.221938776
20.58541667,89.79375,0.0145,0.0228,122,0.855245747,-4.23360663,-3.780994743,0.635964912
8.91875,83.46041667,0.07565,0.0661,3746,1.032198344,-2.581637839,-2.716586532,1.144478064
12.79375,80.62708333,0.037,0.0342,164,1.022278381,-3.296837366,-3.375529635,1.081871345
17.96041667,85.75208333,0.0453,0.0328,2388,1.092503976,-3.094448246,-3.417326764,1.381097561
7.54375,83.00208333,0.0709,0.0614,3883,1.034939587,-2.646484845,-2.790345444,1.154723127
16.00208333,83.75208333,0.04225,0.0299,3064,1.101754053,-3.164150925,-3.509896799,1.413043478
15.71041667,85.21041667,0.0566,0.04825,2913,1.04117566,-2.871746294,-3.031359451,1.173056995
6.41875,78.25208333,0.03875,0.0239,2689,1.152259232,-3.250624523,-3.73387682,1.621338912
7.54375,70.83541667,0.033,0.0211,4082,1.146669227,-3.411247718,-3.858482239,1.563981043
18.00208333,71.37708333,0.0386,0.029,91,1.084921688,-3.254503003,-3.540459449,1.331034483
16.79375,84.16875,0.04145,0.0325,2911,1.069873891,-3.183267397,-3.42651519,1.275384615
19.58541667,85.50208333,0.0415,0.0352,23,1.046235668,-3.182061852,-3.346709196,1.178977273
20.25208333,88.54375,0.0414,0.03605,559,1.038599055,-3.184474398,-3.322848415,1.148404993
8.835416667,82.75208333,0.0682,0.063,3760,1.019142472,-2.685310714,-2.764620553,1.082539683
7.835416667,76.79375,0.0462,0.0286,135,1.143010711,-3.074775481,-3.554348561,1.615384615
8.085416667,75.75208333,0.0418,0.0299,1596,1.098602653,-3.174858939,-3.509896799,1.397993311
17.58541667,72.33541667,0.0389,0.0306,88,1.070153242,-3.246761028,-3.48675527,1.27124183
17.91875,72.46041667,0.04365,0.0424,42,1.007753875,-3.131551997,-3.160606917,1.029481132
6.585416667,75.46041667,0.0442,0.0291,1973,1.124004474,-3.11903049,-3.537017105,1.518900344
6.91875,83.08541667,0.0714,0.0596,3962,1.044192152,-2.63945741,-2.820099705,1.197986577
11.62708333,80.16875,0.0484,0.0388,1180,1.060430337,-3.028255465,-3.249335032,1.24742268
9.502083333,80.83541667,0.0825,0.0745,25,1.023661313,-2.494956986,-2.596956154,1.10738255
8.335416667,82.54375,0.066,0.0548,3816,1.046448286,-2.718100537,-2.904065085,1.204379562
10.83541667,80.00208333,0.04465,0.03755,26,1.047765177,-3.108900972,-3.282081901,1.189081225
13.25208333,82.04375,0.06595,0.06055,3397,1.020818337,-2.7188584,-2.804285809,1.089182494
7.04375,82.21041667,0.0562,0.0414,3644,1.082087784,-2.878838522,-3.184474398,1.357487923
7.04375,77.62708333,0.0657,0.0526,1409,1.056118783,-2.722656353,-2.945039159,1.24904943
7.91875,82.54375,0.0516,0.0395,3862,1.072687472,-2.964233606,-3.231454607,1.306329114
8.835416667,71.25208333,0.03465,0.02,3852,1.183449455,-3.362457553,-3.912023005,1.7325
10.62708333,74.41875,0.0426,0.0348,2166,1.056974272,-3.155901026,-3.358137892,1.224137931
8.960416667,73.54375,0.04645,0.03545,2695,1.075740997,-3.069378814,-3.339632026,1.310296192
22.04375,88.75208333,0.096,0.1144,6,0.963003387,-2.343407088,-2.1680542,0.839160839
